evidence_id,book,chapter,page_ref,location_scope,primary_location,secondary_location,constraint_type,constraint_statement,certainty_tier,quote_excerpt,paraphrase,negative_constraint,decision_status,notes
UMAP030,TWMF,4 - Tar and Tin,pdf p. 56-57,subterranean,Underthing,,route,"Named Underthing routes include Nodway, Vaults, and Billows, and one tunnel space is heated by exposed steam pipes.",Tier 1,"""Nodway ... Vaults ... Billows""",The Underthing is a large named network rather than a single sewer tunnel.,,source_logged,Useful for later subterranean map work.
UMAP031,TWMF,4 - Tar and Tin,pdf p. 57,subterranean,Underthing,the Archives,access,"A proper tunnel and a long, belly-crawl passage provide hidden access to the Archives through its ventilation system.",Tier 1,"""how fresh air made its way""",The Archives connect to the Underthing through service or ventilation routes.,,source_logged,High-value hidden-route evidence.
UMAP032,TNOTW,39 - Enough Rope,pdf p. 172,room,Tomes,the Archives,interior_trait,"Tomes is a large, high-ceilinged, well-lit main reading room with long tables and shelving for core class texts, and requests are submitted at the desk.",Tier 1,"""main reading area""","Tomes is a formal public reading room, not a maze like the Stacks.",,source_logged,Good public-room floor-plan anchor.
UMAP033,TWMF,7 - Admissions,pdf p. 96,room,Tomes,the Archives,lighting,"During admissions, Tomes is the only well-lit room in the whole Archives building.",Tier 1,"""only well-lit room""",Most of the Archives remain dim or dark by comparison.,,source_logged,Strong lighting rule.
UMAP034,TNOTW,46 - The Ever-Changing Wind,pdf p. 198,room,the Stacks,the Archives,lighting,"The Stacks are unlit; students need hand lamps, and open flame is catastrophically unsafe there.",Tier 1,"""The Stacks aren't lit""","The Stacks should be planned as dark storage with portable light, not evenly lit halls.",No windows; no general open-flame lighting.,source_logged,Combines practical lighting and safety.
UMAP035,TNOTW,46 - The Ever-Changing Wind,pdf p. 198,room,the Stacks,the Archives,environment,"Despite having no windows, the Stacks are cool, dry, and fresh-aired.",Tier 1,"""cool and dry""",Any floor plan should account for unseen air management.,,source_logged,Supports the ventilation-tunnel evidence.
UMAP036,TWMF,The Hidden City,pdf p. 180,building,the Archives,,circulation,"Kvothe describes the Archives as a city unto itself with roads, winding lanes, alleys, and shortcuts.",Tier 1,"""like a city unto itself""",The Archives should be mapped as a navigable urban maze of book districts.,,source_logged,Very important for internal consistency.
UMAP037,TWMF,The Hidden City,pdf p. 180,building,the Archives,,subareas,"Named Archives subareas include the Scriptorium, Sorting Hall, Buggery, Cataloger's Mew, Bindery, Bolts, Palimpsest, and acquisitions office.",Tier 1,"""Scriptorium ... Sorting Hall""",These rooms or districts should exist in any serious Archives layout.,,source_logged,High-value room list.
UMAP038,TWMF,The Hidden City,pdf p. 180,room,acquisitions office,the Archives,interior_trait,"The acquisitions office is tiny and perpetually dark, with one wall dominated by a huge lacquered map tracking cities, roads, and book-acquisition teams.",Tier 1,"""tiny and perpetually dark""","This office is a distinct, map-heavy administrative room.",,source_logged,Useful for a specific room prompt later.
UMAP039,TWMF,The Hidden City,pdf p. 181,building,the Stacks,the Archives,organization,The Stacks make up most of the Archives and include well-cataloged and badly cataloged neighborhoods; two whole floors once shifted into disorder after ledger-books burned.,Tier 1,"""two entire floors""",The building is multi-floor and unevenly organized.,,source_logged,Confirms vertical scale and uneven maintenance.
UMAP040,TWMF,The Hidden City,pdf p. 181,building,the Archives,,landmark,The four-plate door sits as the secret at the heart of the Archives city.,Tier 1,"""at the heart of the city""",The four-plate door is a central interior landmark.,,source_logged,Important lore-sensitive anchor.
UMAP041,TNOTW,46 - The Ever-Changing Wind,pdf p. 200,room,the Stacks,the Archives,verticality,A scriv finds Kvothe near the southeast stairwell in the Stacks.,Tier 1,"""southeast stairwell""",The Stacks include cardinally identified internal stairwells.,,source_logged,Useful for floor-plan directionality.
UMAP042,TWMF,,pdf p. 93,building,Masters' Hall,,exterior_trait,"Masters' Hall is grey stone, and at night a dim interior light shows stained glass of Teccam speaking at the mouth of his cave.",Tier 1,"""grey stone of the Masters' Hall""","Masters' Hall has a more formal, residential-academic identity than the industrial buildings.",,source_logged,Distinct building identity.
UMAP043,TWMF,,pdf p. 117,building,Masters' Hall,,program,"Masters' Hall contains living quarters for the masters, the resident gillers, and guest rooms for visiting arcanists.",Tier 1,"""living quarters for the masters""",Masters' Hall is primarily residential and administrative.,,source_logged,Useful for internal zoning.
UMAP044,TWMF,,pdf p. 93,building,the Crucible,,exterior_trait,"The Crucible has countless bristling chimneys and a stone smell of ammonia, charred flowers, acid, and alcohol.",Tier 1,"""countless bristling chimneys""",The Crucible should read as a chemical-industrial building.,,source_logged,Possible relation to alchemy complex still unconfirmed.
UMAP045,TWMF,46 - The Ever-Changing Wind,pdf p. 210-212,route,University north edge,Haven,route,Elodin reaches Haven by following a wide dirt road out of the northern edge of the University into the forest.,Tier 1,"""northern edge of the University""",Haven is outside the dense campus core and approached from the north.,,source_logged,Major campus-perimeter clue.
UMAP046,TWMF,46 - The Ever-Changing Wind,pdf p. 212,building,Haven,,exterior_trait,"Haven is a huge manor-like building bigger than the Artificery, with a red tile roof, high windows, arched doorways, pillars, fountains, flowers, and hedges.",Tier 1,"""Bigger than the Artificery""","Haven is expansive and formal, not a dungeon block.",,source_logged,Strong shell description.
UMAP047,TWMF,46 - The Ever-Changing Wind,pdf p. 212,building,Haven,,boundary,Haven is enclosed by a nearly ten-foot-tall wrought-iron fence that is effectively unclimbable.,Tier 1,"""nearly ten feet tall""",Haven is deliberately enclosed and secured.,,source_logged,Boundary condition for grounds.
UMAP048,TWMF,46 - The Ever-Changing Wind,pdf p. 213,building,Haven,,interior_trait,"Haven has a huge entryway with stained glass windows and vaulted ceilings, then a wide marble staircase and long white hallways lined with wooden doors.",Tier 1,"""wide marble staircase""","Haven interior is polished, large-scale, and vertically organized.",,source_logged,Good floor-plan seed.
UMAP049,TNOTW,Slow Circles,pdf p. 242,building,the Mains,,access,Kvothe reaches the Mains roof by shimmying up drainpipes in a sheltered box alley.,Tier 1,"""shimmying up a series of drainpipes""",Mains includes exterior roof-accessible drainpipes and at least one narrow alley box.,,source_logged,Helpful for exterior massing and traversal.
UMAP050,TNOTW,Slow Circles,pdf p. 242,room,isolated courtyard,the Mains,interior_trait,The isolated Mains courtyard contains an apple tree and is reached from the roof approach.,Tier 2,"""isolated courtyard with the apple tree""","This likely matches the earlier isolated courtyard rumor, but the text does not explicitly name it the same courtyard.",,source_logged,"Mark as likely same courtyard, not fully locked."
UMAP051,TWMF,,pdf p. 93,building,the Archives,,exterior_trait,"At night the Archives are described as five stories tall, windowless, and lit only by sympathy light leaking around the massive doors.",Tier 1,"""Five stories tall and windowless""",This confirms the exterior height more explicitly than the earlier monolith description.,,source_logged,Useful for elevation prompts.
UMAP052,TWMF,,pdf p. 1322,building,the Archives,,roof_access,The Archives have a locked roof door and a bare stone rooftop above a courtyard from which people below can hear calls for help.,Tier 1,"""bare stone rooftop""",The Archives roof is accessible by keyed door and overlooks at least one courtyard.,,source_logged,Important for top-floor and roof planning.
UMAP053,TNOTW,,pdf p. 286-287,campus,Anker's,Stonebridge/river side,district_relation,"Kvothe tries every inn on this side of the river before taking work and lodging at Anker's, placing it on the University side rather than in Imre.",Tier 1,"""this side of the river""",Anker's belongs on the University bank.,,source_logged,Useful for wider town map.
UMAP054,TNOTW,,"pdf p. 287, 291-292",building,Anker's,nearby bakery,access,"Kvothe's tiny room at Anker's is on the third floor and can be reached from an alley between the inn and the bakery by climbing rain barrel, ledge, drainpipe, and roofs.",Tier 1,"""third floor""",Anker's and the bakery share a climbable alley-and-roof relationship.,,source_logged,Good if you map the student district in detail.
UMAP055,TNOTW,36 - Less Talents,chapter 36,environment,Omethi River canyon,Stonebridge,topography,The Omethi has carved a rocky canyon between Imre and the University approach.,Tier 1,rocky canyon,The river crossing is a real terrain break with meaningful elevation and sightline impact.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP056,TNOTW,36 - Less Talents,chapter 36,access,the Archives,entry desk ledgers,permission_rule,"Archives entry depends on being recorded in the desk ledgers, or being in the book.",Tier 1,in the book,The antechamber desk is a formal gatekeeping checkpoint rather than a passive reception desk.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP057,TNOTW,36 - Less Talents,chapter 36,room,Hollows admissions theatre,Hollows,room_function,Hollows contains a dark theatre-like admissions chamber with a stage and a large raised crescent table for the masters.,Tier 1,empty theater,At least one major Hollows room is ceremonial and authority-focused rather than classroom-flat.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP058,TNOTW,36 - Less Talents,chapter 36,access,Hollows,back entrance,secondary_access,Hollows has at least one back entrance and locked interior routes that can be bypassed or picked.,Tier 1,back entrance,Hollows is not a single-front-door-only building.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP059,TNOTW,37 - Bright-Eyed,chapter 37,building,bursar building,courtyard,route,"The bursar is reached by crossing a courtyard, entering another stone building, passing through a hallway, and going down a flight of stairs.",Tier 1,down a flight of stairs,The bursar is in a separate administrative building with at least partial below-grade access.,,imported_from_workbook,Integrated from evidencNOTW.xlsx. Building remains unnamed.
UMAP060,TNOTW,37 - Bright-Eyed,chapter 37,room,the Mess,dining hall,room_scale,The Mess dining room has large plank tables and can seat roughly two hundred students at once.,Tier 1,about two hundred students,"The Mess is a substantial communal dining hall, not a tiny canteen.",,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP061,TNOTW,38 - Sympathy in the Mains,chapter 38,room,the Mains lecture theatre,the Mains,room_function,At least one Mains classroom is arranged like a small theatre with tiered semicircular seating around a raised stage and stone worktable.,Tier 1,small theater,Some Mains teaching rooms are demonstration theatres rather than flat classrooms.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP062,TNOTW,40 - On the Horns,chapter 40,room,Masters' Hall,Hollows zone,room_identity,Masters' Hall is a large windowless room with a familiar crescent-shaped masters' table that is not elevated in the same way as the Hollows admissions theatre.,Tier 2,large windowless room,"The masters use a second formal chamber distinct from the raised-admissions staging, but its exact relation to Hollows stays unresolved.",,imported_from_workbook,Integrated from evidencNOTW.xlsx. Keep as ambiguous siting evidence.
UMAP063,TNOTW,41 - Friend's Blood,chapter 41,building,the Medica,town patients,institutional_role,"The Medica treats the sick beyond the student body, and those without coin can work off their debt after recovery.",Tier 1,work until your debt is balanced,The Medica is both a teaching/clinical building and a functioning public hospital-economy institution.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP064,TNOTW,43-44,chapters 43-44,access,the Stacks,Archive entry desk,fee_and_lighting,"Stacks access is treated separately from Tomes, with a stack fee and a practice of signing out portable hand lamps from the desk.",Tier 1,stack fee,The Archives threshold differentiates public reading from deeper-stack use through both permission and equipment.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP065,TNOTW,43 - The Flickering Way,chapter 43,building,the Stacks,the Archives,vertical_layout,"The Stacks include stairwells going up and down, small stone rooms with heavy wooden doors, and a building profile described as six stories tall with underground extension.",Tier 1,six stories tall and also extends underground,The Stacks are vertically extensive and include enclosed study or discussion rooms within the maze.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP066,TNOTW,43 - The Flickering Way,chapter 43,door,the four-plate door,the Stacks,door_architecture,"The four-plate door is seamless grey stone set flush with the wall, with no hinge or handle, four copper plates, and unusual keyholes beneath the word VALARITAS.",Tier 1,VALARITAS,This is not an ordinary locked door but a uniquely built high-security threshold embedded in the Stacks.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP067,TNOTW,46 - The Ever-Changing Wind,chapter 46,office,Elodin's office,Hollows,office_assignment,"Elodin has an office in Hollows, even though he rarely or never seems to use it.",Tier 1,office in Hollows,Hollows contains at least one master office in addition to its admissions functions.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP068,TNOTW,46 - The Ever-Changing Wind,chapter 46,building,Haven,capacity,institution_scale,"A Haven guard estimates roughly 320 to 350 patients are present, with room for another 150 if needed.",Tier 1,Three-twenty? Three-fifty?,"Haven is a truly large institutional complex, not a small ward or annex.",,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP069,TNOTW,46 - The Ever-Changing Wind,chapter 46,room,Alder Whin's room,Haven,room_safety_design,"Alder Whin's Haven room has tall windows, normal furniture, and thick white padding on walls, ceiling, and floor that muffles sound.",Tier 1,"walls, ceiling, and floor were all padded",At least some Haven rooms are daylight-accessible but heavily customized for patient safety and sound suppression.,,imported_from_workbook,Integrated from evidencNOTW.xlsx.
UMAP070,TNOTW,46 - The Ever-Changing Wind,chapter 46,room,Elodin's former cell,Haven,high_containment_room,"One Haven containment room uses a solid copper door, bare grey stone walls, huge copper-framed windows, no inner handle, a visible balcony without obvious access, and unusual heavy-feeling air.",Tier 1,solid copper door,Haven includes at least one specialized high-containment chamber engineered for dangerous arcanists or namers.,,imported_from_workbook,Integrated from evidencNOTW.xlsx. Mechanism behind the heavy-air effect remains unknown.
