location_id,building_or_room_name,book,chapter,evidence_type,paraphrased_evidence,what_this_proves,confidence,related_locations,contradictions_or_open_questions
ARCHIVES_ROOF,Roof of the Archives,WMF,11,roof access / doors / exposure,"Elodin steals the key to the roof of the Archives; once trapped there, he and Kvothe spend the night on the bare stone rooftop in a storm. The next morning Lorren has several strong scrivs batter down the door leading to the roof because no second key seems available. Help is called down to the courtyard below.","The Archives has a roof accessed by a locked interior door, the roof surface is stone and exposed, and it overlooks a courtyard where people below can hear voices from above.",A,"ARCHIVES, COURTYARD, ROOF_DOOR",Exact roof entry point inside the building is not specified.
LEDGERS_AND_LISTS,Ledgers and Lists,WMF,11,administrative room / access,"Kvothe goes to Ledgers and Lists to sign up for classes, including Medica, Fishery, Sympathy, and Elodin’s class.",The University has a distinct administrative registration office or records room for course enrolment.,A,"MEDICA, FISHERY, UNIVERSITY",No architectural description beyond function.
FISHERY_WORKSHOP,Fishery workshop,WMF,143,environmental / windows / scale,"On returning to work, Kvothe notices the light is unusual because sunlight is slanting through the low windows on the eastern wall. The huge room feels hollow and lifeless with only a handful of students in it early in the morning.","The workshop is very large, has exterior windows on at least its eastern wall, and those windows are relatively low-set.",A,"FISHERY, KILVIN_OFFICE",“Low” is clear; exact window height and count are not.
KILVIN_OFFICE,Kilvin’s office,WMF,143,office layout / door / heat source,"Kilvin’s office opens off the workshop. It has a small forge or glasswork in the corner, is hot from the stoked fire, and Kvothe swings the heavy door closed behind him.",Kilvin’s office is an enclosed room inside the Fishery with a substantial door and its own working hot apparatus.,A,FISHERY_WORKSHOP,"Whether the apparatus is permanently installed or temporarily set up is not fully explicit, though it reads as fixed workspace."
FISHERY_SOUTH_EXIT,Southern exit of the Fishery,WMF,143,access / directional / adjacency,"Basil says the girl looking for Kvothe has been lingering in the courtyard, and he jerks his head toward the southern exit of the Fishery.",The Fishery has at least one south-facing exit that opens toward or gives onto a courtyard.,A,"FISHERY, COURTYARD",The courtyard is not otherwise identified.
MAINS_ROOF,Roof of Mains,WMF,142,roofscape / circulation,Kvothe climbs onto Mains and moves through a “familiar maze of chimneys and mismatched slate and clay and tin.”,"Mains has a complex roofline with multiple chimney stacks and mixed roofing materials, matching its accreted construction.",A,"MAINS, CHIMNEYS",No exact path system given beyond rooftop navigability.
MAINS_TO_COURTYARD,Roof-to-courtyard route via apple tree,WMF,142,vertical access / adjacency,Auri leads Kvothe across the roof to the apple tree they can use to climb down into the courtyard.,"At least one courtyard is directly adjacent to Mains or its roof edge, and the tree provides an informal vertical route between roof and ground.",A,"MAINS_ROOF, COURTYARD, APPLE_TREE",Not clear whether this courtyard is internal to Mains or merely beside it.
UNDERTHING,Underthing (general),WMF,90,underground extent / exploration,Kvothe says Auri shows him the “vast and varied corners” of the Underthing over many nights.,"The Underthing is extensive, multi-zone, and too large to absorb in a single short visit.",B,"DOWNINGS, VAULTS, WOODS, DELVING, CRICKLET, TENNERS, CANDLEBEAR, BELOWS",General statement rather than a precise map.
WOODS,The Woods (Underthing),WMF,90,underground room form / structural condition,The Woods is a set of crumbling halls and rooms whose ceilings are propped up with thick wooden support beams.,Some Underthing zones are failing structurally and require visible support.,A,UNDERTHING,None.
CRICKLET,Cricklet (Underthing),WMF,90,underground environment / water,"Cricklet is a long low room with a tiny trickle of fresh water running down one wall, attracting crickets.","At least part of the Underthing is water-fed, habitable to insects, and low-ceilinged.",A,UNDERTHING,None.
VAULTS,Vaults (Underthing),WMF,90,passage form / floor hazards,Vaults is a narrow hallway with three deep cracks across the floor.,The Underthing includes narrow corridor-like sections with damaged flooring that affects movement.,A,UNDERTHING,None.
BELOWS,Belows / Bellows (Underthing),WMF,90,tunnel network / depth / environmental,"Auri takes Kvothe to Belows, a maze of intersecting tunnels at least a hundred feet below ground, filled with a steady rushing wind that smells of dust and leather.","The Underthing extends very deep and includes ventilated tunnel systems with strong airflow, suggesting major hidden connections or shafts.",A,UNDERTHING,The exact meaning and spelling of the name remains uncertain in the passage itself.
IMRE_TO_UNIVERSITY,Route back across the river,WMF,142,travel / adjacency,"After returning, Kvothe says he made his way back across the river before later climbing onto Mains that night.",The familiar University/Imre separation by river remains active and relevant in WMF travel logic.,B,"IMRE, UNIVERSITY, STONEBRIDGE/OMETHI corridor","The bridge is not restated in this passage, only the river crossing."
IMRE_NIGHT,Imre at night,WMF,16,environmental / urban circulation,"Imre’s streets are busier at night than by day, with music spilling from inns and theatres and crowds moving among restaurants and exhibition halls. Kvothe later walks back to the University from there.",Imre remains a dense evening social district contrasted with the University side; pedestrian movement between the two is routine.,B,"UNIVERSITY, EOLIAN, CAFÉS",Atmospheric but still useful for settlement function; does not add precise layout.
AMBROSE_WINDOW,Ambrose’s room window approach,WMF,15,windows / access / roofline,"Approaching along an exterior ledge/roofline, Kvothe finds one stained-glass window that does not open and another wide double window with a simple latch, added drop bar, and a sash stuck shut; there is about a fifteen-foot drop outside.",At least one high-status residence in Imre has layered physical security at the window and is accessible only by risky roofline movement from outside.,A,"IMRE, AMBROSE_ROOMS","This is Imre evidence, not University proper."
AMBROSE_ROOM,Ambrose’s room / interior glimpse,WMF,15,interior / room scale,Through the window Kvothe sees dim lamps and a canopy bed as big as his room at Anker’s.,"Ambrose’s lodging is large and luxurious, with oversized furnishings relative to ordinary student rooms.",B,"AMBROSE_WINDOW, IMRE",Exact building not named in this passage.
