id,book,page,certainty,category,description,rooms,features,notes
crydee_011,Magician,14,canon,architecture,"been called the Duchy of Crydee."" Pug thought for a moment, then said, ""I think I would like to travel to this Great Kesh someday."" Meecham snorted, something close to a laugh. ""And what would you be traveling as, a freebooter?"" Pug felt his face flush. Freebooters were landless men, mercenaries who fought for pay, and who were regarded as being only one cut above outlaws. Kulgan said, ""Perhaps you might someday, Pug. The way is long and full of peril, but it is not unheard of for a brave and...",kitchen,table,Extracted from page 14
crydee_012,Magician,15,canon,architecture,"brought me to the keep, for they had no way to care for me."" ""Yes,"" injected Kulgan, ""I remember when those who worship the Shield of the Weak first brought you to the castle. You were no more than a baby fresh from the teat. It is only through the Duke's kindness that you are a freeman today. He felt it a lesser evil to free a bondsman's son than to bond a freeman's. Without proof, it was his right to have you declared bondsman."" Meecham said in a noncommittal tone, ""A good man, the Duke."" P...",kitchen,table,Extracted from page 15
crydee_013,Magician,16,canon,architecture,"doesn't like it when he's not in the kitchen to oversee things. I think she knows this, which is why she tossed us out of the keep for the morning, so she wouldn't take out her temper on us. Or at least you,"" he added with a questioning smile. ""I swear you're her favorite."" pug's grin returned and he laughed again. ""Well, I do cause less trouble."" With a playful punch to the arm, Tomas said, ""You mean you get caught less often."" Pug pulled his sling out from within his shirt. ""If we came back...",kitchen,bed,Extracted from page 16
crydee_014,Magician,17,canon,architecture,"Martin had come to be known as Longbow by those in the castle, as he had few equals with that weapon. Something of a mystery, Martin Longbow was still well liked by the boys, for while he was aloof with the adults in the castle, he was always friendly and accessible to the boys. As Huntmaster, he was also the Duke's Forester. His duties absented him from the castle for days, even weeks at a time, as he kept his trackers busy looking for signs of poaching, possible fire dangers, migrating gobl...",,fireplace,Extracted from page 17
crydee_015,Magician,18,canon,architecture,"Tomas answered. ""My mother tossed us out of the kitchen. We were more trouble than not. With the Choosing today . . ."" His voice died away, and he felt suddenly embarrassed. Much of Martin's mysterious reputation stemmed from when he first came to Crydee. At his time for the Choosing, he had been placed directly with the old Huntmaster by the Duke, rather than standing before the assembled Craftmasters with the other boys his age. This violation of one of the oldest traditions known had offen...",kitchen,,Extracted from page 18
crydee_016,Magician,19,canon,architecture,"noon. We should return to the keep."" He began to walk toward the path, and the boys fell in beside him. ""What was the feast like, Martin?"" asked Tomas. Pug sighed as the hunter began to speak of the marvels of Elvandar. He was also fascinated by tales of the elves, but to nowhere near the degree Tomas was. Tomas could endure hours of tales of the people of the elven forests, regardless of the speaker's credibility. At least, Pug considered, in the Huntmaster they had a dependable eye witness....",courtyard,table,Extracted from page 19
crydee_017,Magician,20,canon,architecture,"Crydee to try to find a craft in another town or city. If he stayed, he would have to either farm the Duke's land as a franklin, or work one of the town's fishing boats. Both prospects were equally unattractive, but he couldn't imagine leaving Crydee. Pug remembered what Megar had told him, the night before. The old cook had cautioned him about fretting too much over the Choosing. After all, he had pointed out, there were many apprentices who never %advanced to the rank of journeyman ""thod tw...",courtyard,"stair, gate, door",Extracted from page 20
crydee_018,Magician,21,canon,architecture,"steps. Upon each tabard was emblazoned the golden gull of Crydee, and above that a small golden crown, marking the Duke a member of the royal family. The herald shouted, ""Hearken to me! His Grace, Borric conDoin, third Duke of Crydee, Prince of the Kingdom, Lord of Crydee, Carse, and Tulan; Warden of the West; Knight-General of the King's Armies, heir presumptive to the throne of Rillanon."" The Duke stood patiently while the list of offices was completed, then stepped forward into the sunligh...",,,Extracted from page 21
crydee_019,Magician,22,canon,architecture,"the castle from time to time since the night of the storm, and they had exchanged words once, Kulgan inquiring as to his well-being, but mostly the magician was absent from sight. Pug was a little surprised to see the magician, for he was not properly considered a full member of the Duke's household, but rather a sometime adviser. Most of the time Kulgan was ensconced in his tower, hidden from view as he did whatever magicians do in such places. The magician was deep in conversation with Fath...",tower,,Extracted from page 22
crydee_020,Magician,23,canon,architecture,"netmender's son, a town boy, and they rarely mixed with the keep boys. Pug had played with him upon a few occasions and had a sense the lad was well regarded. It was a rare thing to refuse service, and Pug was as. curious as any to hear the reasons. The Duke spoke kindly. ""What is your purpose, Robert, son of Hugen?"" ""Your grace, my father is unable to take me into his craft, for my four brothers are well able to ascend to the craft as journeymen and masters after him, as are many other netme...",courtyard,table,Extracted from page 23
crydee_021,Magician,24,canon,architecture,"a member of the castle's serving staff, leaving Pug and Tomas standing alone. Swordmaster Fannon then stepped forward, and Pug felt his heart stand still as the old soldier called, ""Tomas, son of Megar."" There was a pause, and Pug waited to hear his own name called, but Fannon stepped back and Tomas crossed over to stand alongside him. Pug felt dwarfed by the gaze of all upon him. The courtyard was now larger than he had ever remembered it, and he felt ill fashioned and poorly dressed.' His h...",courtyard,,Extracted from page 24
crydee_022,Magician,25,canon,architecture,"and they passed into the keep between the ranks of the courtiers, who drew aside. The two Princes followed, and the others of the court. Pug saw Tomas leave in the direction of the guard barracks, behind Master Fannon. He turned his attention back to Kulgan, who was standing lost in thought. After a moment the magician said, ""I trust neither of us has made a mistake this day."" ""Sir?"" Pug asked, not understanding the magician's meaning. Kulgan waved one hand absently, causing his pale yellow r...","tower, barracks",,Extracted from page 25
crydee_023,Magician,26,canon,architecture,"though no one had ever reported seeing such a celebration. The courtyard was busy. Huge tables had been erected to hold the myriad varieties of foods that had been in preparation for over a week. Giant barrels of dwarven ale, imported from Stone Mountain, had been hauled out of the cellars and were resting on protesting, overburdened wood frames. The workmen, alarmed at the fragile appearance of the barrd ricks, were quickly emptying some of the contents. Megar came out of the kitchen and ang...","tower, courtyard, kitchen, cellar","table, door",Extracted from page 26
crydee_024,Magician,27,canon,architecture,"apprentice laughed. ""You're the quickest hand in the castle, I bet."" ""Or young Jon was slow of eye for keeping it on you."" They shared a laugh. Pug popped his half of the pie into his mouth. It was delicately seasoned, and the contrast between the salty pork filling and the sweet puff-pastry crust was delicious. The sound of pipes and drums came from the side courtyard as the Duke's musicians approached the main courtyard. By the time they had emerged around the keep, a silent message seemed ...","courtyard, kitchen",table,Extracted from page 27
crydee_025,Magician,28,canon,architecture,"keep passed, offering congratulations on the boys' apprenticeship and wishing them a good new year. Pug felt a deep sense of rightness about everything. He was an apprentice, even if Kulgan seemed completely unsure of what to do with him. He was well fed, and on his way to being slightly intoxicated-which contributed to his sense of well-being. And, most important, he was among friends. There can't be much more to life than this, he thought. 3 kEEP Puc sAT SULKING ON HIS SLEEPING PAllET. Fant...",tower,"window, door",Extracted from page 28
crydee_026,Magician,29,canon,architecture,"simply says to keep at it and not worry."" Nearing tears, he continued. ""I have talent. Kulgan said he knew it from the first time we met, when I used the crystal. You've told me that I have talent. But I just can't make the spells work the way they're supposed to. I get so confused by it all."" ""Pug,"" said the priest, ""magic has many properties, and we understand little of how it works, even those of us who practice it. In the temples we are taught that magic is a gift from the gods, and we ac...",,,Extracted from page 29
crydee_027,Magician,33,canon,architecture,"sound of boys at play, filling the courtyard of the keep. EvERY SixthdaY, the boys and girls who worked in the castle were allowed to spend the afternoon as they saw fit. The boys, apprentice age and younger, were a loud and boisterous lot. The girls worked in the service .of the ladies of the castle, cleaning and sewing, as well as helping in the kitchen. They all gave a full week's work, dawn to dusk and more, each day, but on the sixth day of the week they gathered in the courtyard of ! th...","courtyard, kitchen",wall,Extracted from page 33
crydee_028,Magician,34,canon,architecture,"of the keep was bad enough, to be punished by a lout like Rulf in front of the Princess was a catastrophe. Emitting a groan that had little to do with his physical state, Pug tried to look as much like someone else as he could. Tomas grabbed him roughly. ""Try not to squirm around so much. You're not all that bad off. Most of this blood is Rulf's anyway. By tomorrow his nose will look like an angry red cabbage."" ""So will my head."" ""Nothing so bad. A black eye, perhaps two, with a swollen cheek...",kitchen,bed,Extracted from page 34
crydee_029,Magician,35,canon,architecture,"Tomas spoke from around a mouthful of food. ""Master Fannon says a soldier must keep a cool head at all times or he'll lose it."" Pug sighed. ""Kulgan said something like that. I have some drills I can do that make me relax. I should have used them."" Tomas gulped a heroic portion of his meal. ""Practicing in your room is one thing. Putting that sort of business into use while someone is insulting you to your face is quite another. I would have done the same thing, I suppose."" ""But you would have ...",,wall,Extracted from page 35
crydee_030,Magician,36,canon,architecture,"""If she's blind,. and all the other girls in the keep haven't pointed it out to her a hundred times already."" A woebegone look crossed Tomas's face. ""What must the girl think?"" Pug said, ""who knows what girls think? From everything I can tell, she probably likes it."" Tomas looked thoughtfully at his plate. ""Do you ever think about taking a wife?"" Pug blinked like an owl caught in a bright light. ""I . . . I never thought about it. I don't know if magicians marry. I don't think they do."" ""Nor s...",,"bed, gate",Extracted from page 36
crydee_031,Magician,37,canon,architecture,"gleaming as the morning sun poured in through the tower window. The door to the boy's room swung open, and Kulgan stepped through, his stout frame covered in a green robe. Pausing to regard the boy for a moment, he sat on the pallet and scratched the drake behind the eye ridges, bringing a pleased rumble from deep within Fantus's throat. ""I see you didn't spend yesterday sitting about idly,"" he said. ""I had a bit of trouble, sir."" ""Well, fighting is the province of boys as well as grown men, ...",tower,"window, door",Extracted from page 37
crydee_032,Magician,38,canon,architecture,"""This very day. Morning chapel is almost done."" Being Firstday, those inclined went to devotions either in the Keep's chapel, or in the small temple down in the town. The rest of the day was given to light work, only that needed to put food on the Duke's table. The boys and girls might get an extra half day on Sixthday, but their elders rested only on Firstday. ""Go to Horsemaster Algon, he has been instructed by the Duke and will begin your lessons now."" Without a further word, Pug leaped up ...","stables, chapel","table, gate",Extracted from page 38
crydee_033,Magician,39,canon,architecture,"who attempted by force of will as much as horsemanship to keep his recalcitrant mount moving. Pug felt the first stirring of hunger, his dreams of romance surrendering to his normal, fifteen-year-old's appetite. As they rode, his thoughts turned more and more to the basket of lunch that hung from his saddle horn. After what seemed like an eternity to Pug, the Princess turned to him. ""Boy, what is your craft?"" Startled by the question after the long silence, Pug stammered his reply. ""I . . . I...",,,Extracted from page 39
crydee_034,Magician,41,canon,architecture,"threw his arms forward and broke his fall with his hands, keeping his head above water. Shock ran up through his arms as he tried to regain his feet. He stumbled again and turned as the trolls approached the water's edge. They howled at the sight of their tormentor stumbling in the water and paused for a moment. Pug felt blind terror as he struggled with numb fingers to put a stone in his sling. He fumbled and dropped the sling, and the stream carried it away. Pug felt a scream building in hi...",,bed,Extracted from page 41
crydee_035,Magician,42,canon,architecture,"role as Princess of the castle. Trying to sound commanding, she said, ""I am glad to see you are unhurt, boy."" Pug winced visibly at that. She struggled to regain her aristocratic bearing, but her red nose and tearstained face undermined her attempt. ""Find my horse, and we shall return to the keep."" Pug felt as if his nerves were raw. Keeping tight control over his voice, he said, ""I'm sorry, Your Highness, but the horses have run off. I'm afraid we'll have to walk."" Carline felt abused and mi...",,,Extracted from page 42
crydee_036,Magician,43,canon,architecture,"better hurry. We might make the keep by nightfall."" She nodded, keeping her eyes upon him, and smiled. Pug was feeling uncomfortable under her gaze and turned toward the way to the keep. ""Well, then. We'd best be off."" She fell into step beside him. After a moment she asked, ""May I have some bread too, Pug?"" Puc hAD RUN the distance between the bluffs and the keep many times before, but the Princess was unused to walking such distances, and her soft riding boots were ill suited to such an und...",tower,"table, gate",Extracted from page 43
crydee_037,Magician,44,canon,architecture,"responsible for the Princess's condition, one of the guards stepped up and seized him by the arm. ""Leave him alone!"" Silence descended as Carline forced her way between the governess and Pug. Small fists struck at the guard as he let go of Pug and fell back with a look of astonishment on his face. ""He saved my life! He almost got killed saving me."" Tears were running down her face. ""He's done nothing wrong. And I won't have any of you bullying him."" The crowd closed in around them, regarding ...","tower, courtyard","table, wall, gate",Extracted from page 44
crydee_038,Magician,46,canon,architecture,"He put out the lantern that hung on the wall and let himself out. As he walked up the stairs to his own room, he shook his head. ""Absolutely incredible."" Puc wAitED as the Duke held court in the great hall. Everyone in the keep and town who could contrive a way to gain entrance to the audience was there. Richly dressed Craftmasters, merchants, and minor nobles were in attendance. They stood regarding the boy with expressions ranging from wonder to disbelief. The rumor of his deed had spread t...",great hall,"stair, table, wall",Extracted from page 46
crydee_039,Magician,47,implied,architecture,"given a place in the court of Crydee, with the rank of Squire, with all rights and privileges pertaining thereunto. Furthermore let it be known that the title for the estate of Forest Deep is conferred upon him and his progeny as long as they shall live, to have and to hold, with servants and properties thereupon. Title to this estate shall be held by the crown until the day of his majority. Set this day by my hand and seal Borric conDoin, third Duke of Crydee, Prince of the Kingdom; Lord of ...",,"chair, door",Extracted from page 47
crydee_040,Magician,48,canon,architecture,"I am going to ask him to keep it, until such time as he deems fit to give it to you. I will say no more on the subject, except that when he gives it to you, I hope you will remember this day and consider long what it says."" ""I will, Your Grace."" Pug was sure the Duke was saying something very important, but with all the events of the last half hour, it did not register very well. ""I will expect you for supper, Pug. As a member of the court, you will not be eating meals in the kitchen anymore....","courtyard, kitchen","stair, window, door",Extracted from page 48
crydee_041,Magician,49,canon,architecture,"through the kitchen, nearly knocking over Alfan, the pastry cook. As he bolted out the door, he heard the stout baker yell, ""Squire or not, I'll box your ears if you don't watch where you're going, boy!"" The kitchen staff had not changed their attitude toward the boy, whom they considered one of their own, beyond feeling proud of his achievement. Pug shouted back with laughter in his voice, ""My apologies, Mastercook!"" Alfan gave him a good-natured wave as Pug vanished through the outside door...","great hall, kitchen","bed, table, gate, door",Extracted from page 49
crydee_042,Magician,50,canon,architecture,"mother. Now fetch a sword from the armory in case there's trouble. You may get to play soldier yet."" Tomas looked pleased at the prospect and ran out the door. A few minutes later the large grey with the two boys mounted on her back lumbered out the main gate, heading down the road toward Sailor's Grief. ThE suRF was pounding as the boys came in sight of the wreckage. Only a few villagers were approaching the site, and they scattered as soon as a horse and rider appeared, for it could only be...",armory,"bed, gate, door",Extracted from page 50
crydee_043,Magician,51,canon,architecture,"with his face against the cliff wall. Sliding backward, he let himself down until he was almost hanging free. With a shove he dropped the remaining four feet, landing safely. Pug reversed the sword and handed it down to Tomas, then followed his friend's lead, and in a moment they both stood on the deck. The foredeck slanted alarmingly down toward the water, and they could feel the ship move beneath their feet. ""The tide's rising,"" Tomas shouted. ""It'll lift what's left of the ship and smash i...",,"wall, door",Extracted from page 51
crydee_044,Magician,53,canon,architecture,"sword. As if sensing the boy's thoughts, the soldier staggered a few feet to his right, cutting off any escape. He closed his eyes again, and what little color there was in his face drained away. His gaze began to wander, and the sword slipped from limp fingers. Pug started to take a step toward him, for it was now obvious that he could do them no harm. As he neared the man, shouts sounded up the beach. Pug and Tomas saw Prince Arutha riding before a troop of horsemen. The wounded soldier tur...",dining hall,"table, door",Extracted from page 53
crydee_045,Magician,55,canon,architecture,"Mountain and the Grey Towers of what has happened. Ask for their counsel."" Pug opened the door. The Duke went through and the others followed. Pug and Tomas were the last to leave, and as they walked down the hall, Tomas leaned over toward Pug. ""We really started something."" Pug shook his head. ""We were simply the first to find the man. If not us, then someone else."" Tomas looked relieved to be out of the chamber and the Duke's scrutiny. ""If this turns out badly, I hope they remember that."" K...","tower, Tower, kitchen","stair, table, bed, door",Extracted from page 55
crydee_046,Magician,56,canon,architecture,"counter. ""I had best return to the soldiers' commons and wait for Master Fannon. I'll see you soon."" He ran from the kitchen. Megar said, ""Is it serious, Pug?"" Pug shook his head. ""I really can't say. I don't know. I know that Tully and Kulgan are worried, and the Duke thinks enough of the problem to want to talk to the elves and dwarves. It could be."" Megar looked out the door that Tomas had used. ""It would be a bad time for war and killing."" Pug could see the poorly hidden worry in Megar's ...","tower, courtyard, kitchen","bed, table, wall, door",Extracted from page 56
crydee_047,Magician,57,canon,architecture,"surrogate mother would allow that he was proper company. ""Why not?"" Carline sighed. ""She says that when you were a commoner, you would keep your place. Now that you are a courtier, she suspects you of having aspirations."" A slight smile played across her lips. ""Aspirations?"" Pug said, not understanding. Carline said shyly, ""She thinks that you have ambitions to rise to higher station. She thinks you seek to influence me in certain ways."" Pug stared at Carline. Abruptly comprehension dawned on...",cellar,"table, gate, door",Extracted from page 57
crydee_048,Magician,58,unknown,architecture,"soldier of a nation, Honshoni, in something called the Empire of Tsuranuanni."" Borric said, ""I have never heard of this nation, nor of that Empire."" Tully nodded and said, ""I would have been surprised if you had. That man's ship came from no sea of Midkemia."" Pug and Tomas looked at each other, and Pug felt a chilling sensation, as, apparently, did Tomas, whose face had turned pale. Tully went on. ""We can only speculate on how the feat was managed, but I am certain that this ship comes from a...",,window,Extracted from page 58
crydee_049,Magician,59,canon,architecture,"rear wall of the castle, but he stared as if seeking something there, some-thing that would provide an answer for the questions that spun in his mind. He turned quickly and said, ""How did they get here, Tully?"" The priest shrugged. ""Perhaps Kulgan can offer a theory as to the means. What I construct as being the most likely series of events is this: the ship foundered in the storm, the captain of the ship and most of its crew were lost. As a last resort this Great One, whoever he is, invoked ...",,"table, wall, chair",Extracted from page 59
crydee_050,Magician,60,canon,architecture,"opened the door, then raced through the keep. He ran to the tower steps and took them two at a time. He raised his hand to knock and felt a strange sensation, as if he were near a lightning strike, causing the hair on his arms and scalp to stand up. A sudden sense of wrongness swept over him, and he pounded on the door. ""Kulgan! Kulgan! Are you all right?"" he shouted, but no answer was forth-coming. He tried the door latch and found it locked. He placed his shoulder against the door and tried...",tower,"stair, table, door",Extracted from page 60
crydee_051,Magician,61,canon,architecture,"spears from against the wall where the shocked guards had placed them. Before either of the men-at-arms could act, he leveled it at the grey spot and threw. The spear flew across the ten feet that separated them from Kulgan and disappeared into the void. A brief second after, the arms dropped Kulgan and withdrew. Suddenly the grey void blinked out of existence, with a clap of air rushing in to fill it. Pug ran to Kulgan's side and knelt by his master. The magician was breathing, but his face ...",,"bed, wall",Extracted from page 61
crydee_052,Magician,62,canon,architecture,"good night, and left. The grey-haired commander of the Duke's guard watched them go and stood quietly in the little garden for a time, alone with his own disquieting thoughts. Puc wAs AWAKENED by the sound of footsteps passing his door. He quickly pulled on trousers and tunic and hurried up the steps to Kul: gan's room. Passing the hastily replaced door, he found the Duke and Father Tully standing over Kulgan's sleeping pallet. Pug heard his master's voice, sounding feeble, as he complained a...",,"bed, wall, door",Extracted from page 62
crydee_053,Magician,64,canon,architecture,"and control them as well, to act as a gate between worlds, and can pass through them safely, then they have arts of the most powerful sort."" Tully said, ""We've suspected something of the nature of rifts before, but this is the first time we've had anything remotely like hard evidence."" Kulgan said, ""Bah! Strange people and unknown objects have appeared suddenly from time to time over the years, Tully. This would certainly explain where they came from."" Tully appeared unwilling to concede the ...",,"stair, gate",Extracted from page 64
crydee_054,Magician,65,canon,architecture,"curiosity when one appeared at the castle, for rarely did the elves venture south of the river Crydee. The elves lived apart from the society of men, and their ways were thought strange and magical. They had lived in these lands long before the coming of men to the West, and there was an unvoiced agreement that, in spite of any claims made by the Kingdom, they were a free people. A cough caused Pug to turn and see Kulgan sitting over a large tome. The magician indicated with a glance that the...",,"bed, window",Extracted from page 65
crydee_055,Magician,66,canon,architecture,"down. He pointed to the wall. ""If one had been installed when the tower was built, fine. But to try to remove the stones from the tower, from here past my room, and up to the roof would be difficult, not to mention costly."" ""I wasn't thinking of a chimney in the wall, Kulgan. You know how the forge in the smithy has a stone hood taking the heat and smoke through the roof?"" The magician nodded. ""Well, if I could have a metal one fashioned by the smith, and a metal chimney coming from the hood ...",tower,"table, wall, window",Extracted from page 66
crydee_056,Magician,67,canon,architecture,"troop of guards was running toward the front gate. Pug turned to Kulgan. ""The elves must be coming! The guard is out."" Kulgan said, ""Very well. We are done with study for this day. There will be no holding you until you get a look at the elves. Run along."" Pug raced out the door and down the stairs. He took them two at a time, jumping to the bottom of the tower landing over the last four and hitting the floor at a full run. He dashed through the kitchen and out the door. As he rounded the kee...","tower, courtyard, kitchen","stair, gate, bed, door",Extracted from page 67
crydee_057,Magician,68,canon,architecture,"to carry over the crowd so that all in the courtyard could hear. Pug felt Tomas's hand clutching his shoulder. He turned to see a rapt expression on Tomas's face. ""She's beautiful,"" said the taller boy. Pug returned his attention to the welcome. He was forced to agree that the Queen of the elves was indeed beautiful, if not in entirely human terms. Her eyes were large and a pale blue, nearly luminous in the gloom. Her face was finely chiseled, with high cheekbones and a strong but not masculi...",courtyard,gate,Extracted from page 68
crydee_058,Magician,69,canon,architecture,"as if he were going to break down and run. ""Me? Dine in the great hall?"" His face went white. ""Talk? To the Queen?"" Pug laughed with glee. ""It's easy. You open your mouth and words come out."" Tomas swung a roundhouse at Pug, who ducked under the blow, grabbing his friend from behind when he spun completely around. Pug had strength in his arms even if he lacked Tomas's size, and he easily picked his larger friend off the ground. Tomas struggled, and soon they were laughing uncontrollably. ""Pug...",great hall,table,Extracted from page 69
crydee_059,Magician,70,unknown,architecture,"arrived in Crydee, his differences soon were settled peacefully as often as not. Now there was this dark tension between Pug and Roland, and Pug found himself wishing he was Tomas's equal in fighting; Tomas was the only boy Roland was unable to best with fists, their one encounter ending quickly with Roland receiving a sound thumping. For as certain as the sun was rising in the morning, Pug knew a confrontation with the hotheaded young Squire was quickly approaching. He dreaded it, but knew o...",,"table, bed, door, chair",Extracted from page 70
crydee_060,Magician,71,unknown,architecture,"you have seen proof with your own eyes. If you think it would be helpful, the boys can recount the events on the ship."" The queen inclined her head, but it was Tathar who spoke. ""I would like to hear the story firsthand, Your Grace."" Borric motioned for the boys to approach. They stepped forward, and Tathar said, ""Which of you found this outworlder?"" Tomas threw Pug a look that indicated the shorter boy should do the talking. Pug said, ""We both did, sir,"" not knowing the proper address for th...",,table,Extracted from page 71
crydee_061,Magician,72,canon,architecture,"like the ones used by Keshian dog-soldiers."" Calin spread his hands. ""Kesh has long been gone from these lands, and when we knew the Empire, they used simple bows of yew or ash."" Algon interrupted in excited tones. ""They have a way, secret to them, of fashioning such bows from wood and animal horn. They are small, but possess great power, though not as much as the longbow. Their range is surprisingly-"" Borric cleared his throat pointedly, being unwilling to let the Horse-master indulge himsel...",Tower,"table, bed",Extracted from page 72
crydee_062,Magician,73,canon,architecture,"Stone Mountain and the Grey Towers."" Aglaranna said, ""It would be good to hear what the dwarven folk know."" Borric said, ""I had hoped for word by now, but our messengers have not returned, nor have the pigeons they carry."" Lyam said, ""Hawks, perhaps. The pigeons are not always reliable, or perhaps the messengers never reached the dwarves."" Borric turned to Calin. ""It has been forty years since the siege of Carse, and we have had little traffic with the dwarves since. Who commands the dwarven ...","Tower, kitchen","stair, chair, window, door",Extracted from page 73
crydee_063,Magician,74,canon,architecture,"kitchen now that Meecham has gone."" Calin inquired who Meecham was. Pug explained, adding, ""Kulgan has sent him over the mountains to Bordon, with some of the Duke's guards, before the North Pass is snowed in. He didn't say why he was going, Highness."" Calin looked at one of the boy's books. ""I prefer to be called Calin, Pug."" Pug nodded, pleased. ""Calin, what do you think the Duke has in mind?"" The elf gave him an enigmatic smile. ""The Duke will reveal his own plans, I think. My guess is tha...",kitchen,,Extracted from page 74
crydee_064,Magician,76,canon,architecture,made a hash of things. Half the keep boys think themselves in love with,,,Extracted from page 76
crydee_065,Magician,78,canon,architecture,"TheRE WAs a somber mood throughout Castle Crydee the next morning. 'the servants' gossip had spread the news about the Tsurani, though the details were lacking. Everyone went about his duties with one ear open for a tidbit of speculation on what the Duke was going to do. Everyone was agreed to one thing: Borric conDoin, Duke of Crydee, was not a man to sit idly by waiting. Something would be done, and soon. Pug sat atop a bale of hay, watching Tomas practice with a sword, swinging at a pell p...",courtyard,"bed, gate, door",Extracted from page 78
crydee_066,Magician,79,canon,architecture,"be a soldier, and the Queen will reign in Elvandar long after we are dead."" Tomas playfully jumped atop his friend, wrestling him down in the straw. ""Oh! Is that so. Well, I will too go to Elvandar someday."" He pinned Pug under him, sitting atop his chest. ""And when I do, I'll be a great hero, with victories over the Tsurani by the score. She'll welcome me as an honored guest. What do you think of that?"" Pug laughed, trying to push his friend off. ""And I'll be the greatest magician in the lan...","tower, kitchen","stair, wall",Extracted from page 79
